date,views,unique_views,clones,unique_clones
2026-03-31,0,0,0,0
2026-04-01,0,0,0,0
2026-04-02,0,0,0,0
2026-04-03,0,0,0,0
2026-04-04,0,0,0,0
2026-04-05,0,0,0,0
2026-04-06,0,0,0,0
2026-04-07,0,0,0,0
2026-04-08,1,1,10,9
2026-04-09,0,0,19,10
2026-04-10,0,0,8,6
2026-04-11,1,1,10,9
2026-04-12,1,1,12,6
2026-04-13,0,0,9,8
2026-04-14,0,0,13,9
2026-04-15,11,4,21,13
2026-04-16,2,2,8,6
2026-04-17,0,0,16,8
2026-04-18,1,1,15,9
2026-04-19,0,0,19,12
2026-04-20,0,0,7,6
2026-04-21,0,0,11,7
2026-04-22,47,9,152,52
2026-04-23,21,3,72,24
2026-04-24,4,2,41,16
2026-04-25,8,2,24,15
2026-04-26,0,0,4,4
2026-04-27,1,1,19,9
2026-04-28,3,1,27,13
2026-04-29,2,1,2,2
2026-04-30,0,0,11,7
2026-05-01,5,1,63,21
2026-05-02,0,0,25,11
